id,Sorte,Art,Reifezeit,Wiesen_Nr,Baum_Bild,Blueten,Frucht,Schnitt,Baum_Nr,Zustand
99,Apfel_unbestimmt,Apfel,,1,,,,,108,
14,"Rheinischer_Bohnapfel
",Apfel,,1,,,,,102,
11,Wiltshire,Apfel,,1,,,,,109,
11,Wiltshire,Apfel,,1,,,,,110,
11,Wiltshire,Apfel,,1,,,,,101,
15,"Jakob_Fischer
",Apfel,,1,,,,,106,
12,"Brettacher
",Apfel,,1,,,,,107,
13,"Boskoop
",Apfel,,1,,,,,105,
22,"Wettringer Taubenapfel
",Apfel,,1,,,,,103,
299,Zwetschge_unbestimmt,Zwetschge,,1,,,,,104,
401,Walnuß,Nuss,,1,,,,,111,
99,Apfel_unbestimmt,Apfel,,2,,,,,220,
102,"Neue_Poiteau
",Birne,,2,,,,,218,
101,"Gute_Graue
",Birne,,2,,,,,217,
299,Zwetschge_unbestimmt,Zwetschge,,2,,,,,215,
15,Jakob_Ficher,Apfel,,2,,,,,214,
8,"Maunzenapfel
",Apfel,,2,,,,,212,
299,Zwetschge_unbestimmt,Zwetschge,,2,,,,,211,
299,Zwetschge _unbestimmt,Zwetschge,,2,,,,,209,
23,"Florina
",Apfel,,2,,,,,207,
8,"Maunzenapfel
",Apfel,,2,,,,,204,
399,"Kirsche_unbestimmt
",Kirsche,,2,,,,,202,
399,"Kirsche_unbestimmt
",Kirsche,,2,,,,,201,
399,"Kirsche_unbestimmt
",Kirsche,,2,,,,,203,
14,"Rheinischer_Bohnapfel
",Apfel,,2,,,,,205,
4,"Danzinger_Kantapfel
",Apfel,,2,,,,,206,
199,Birne_unbestimmt,Birne,,2,,,,,221,
13,"Boskoop
",Apfel,,2,,,,,208,
2,"Jacob_Lebel
",Apfel,,2,,,,,216,
2,"Jacob_Lebel
",Apfel,,2,,,,,210,
8,"Maunzenapfel
",Apfel,,2,,,,,213,
13,"Boskoop
",Apfel,,4,,,,,404,
13,"Boskoop
",Apfel,,4,,,,,407,
17,"Roter Jonathan
",Apfel,,4,,,,,405,
15,"Jakob Fischer
",Apfel,,4,,,,,403,
14,"Rheinischer Bohnapfel
",Apfel,,4,/home/uws/privat/Streuobstwiesen/Bilder/Baum_Bilder/5_Feldkreuz.png,,,,402,
399,"Kirsche unbestimmt
",Kirsche,,4,/home/uws/privat/Streuobstwiesen/Bilder/Baum_Bilder/5_Feldkreuz.png,,,,401,
399,"Kirsche– unbestimmt
",Kirsche,,5,,,,,501,
99,"Apfel–unbestimmt
",Apfel,,5,,,,2020/03/14,502,
99,"Apfel-unbestimmt
",Apfel,,5,,,,2020/03/14,503,
99,"Apfel–unbestimmt
",Apfel,,5,,,,2020/03/14,505,
15,"Jakob-Fischer
",Apfel,,5,,,,2020/03/14,504,
199,"Birne–unbestimmt
",Birne,,5,,,,2020/03/14,506,
199,"Birne–unbestimmt
",Birne,,5,,,,,507,
201,Fränkische -Hauszwetschge,Zwetschge,,5,,,,,508,
201,Fränkische-Hauszwetschge,Zwetschge,,5,,,,,509,
201,Fränkische-Hauszwetschge,Zwetschge,,5,,,,,510,
201,Fränkische-Hauszwetschge,Zwetschge,,5,,,,,511,
7,"Goldparmäne
",Apfel,,5,,,,2020/03/14,512,
7,"Goldparmäne
",Apfel,,5,,,,2020/03/14,514,
5,Rheinischer-Winterrambur,Apfel,,5,,,,2020/03/14,515,
301,"Süßkirche
",Kirsche,,5,,,,2020/03/14,513,
7,"Goldparmäne
",Apfel,,6,,,,2020/03/14,601,
1,"Korbiniansapfel
",Apfel,,6,,,,2020/03/14,602,
2,"Jacob-Lebel
",Apfel,,6,,,,2020/03/14,603,
3,"Prinz-Albrecht
",Apfel,,6,,,,2020/03/14,604,
6,"Kaiser-Wilhelm
",Apfel,,6,,,,2020/03/14,608,
5,Rheinischer-Winterrambur,Apfel,,6,,,,2020/03/14,607,
4,"Danzinger-Kantapfel
",Apfel,,6,,,,2020/03/14,605,
9,"Topaz
",Apfel,,6,,,,2020/03/14,609,
199,"Birne–unbestimmt
",Birne,,6,,,,2020/03/14,610,
199,"Birne–unbestimmt
",Birne,,6,,,,2020/03/14,611,
199,"Birne–unbestimmt
",Birne,,6,,,,2020/03/14,612,
101,"Gute-Graue
",Birne,,6,,,,2020/03/14,613,
99,"Apfel–unbestimmt
",Apfel,,6,,,,2020/03/14,614,
